Surname,#Awards,Education
Khan,3,"Mobile Cloud Computing, Cybersecurity, IoT"
Aalst,3,"business process management, process mining, Petri nets"
Aaronson,1,quantum computingandcomplexity theory
Abebe,2,"algorithms, artificial intelligence"
Abelson,1,intersection of computing and teaching
Abiteboul,1,database theory
Abramsky,1,game semantics
Adleman,2,"RSA, DNA computing"
Agrawal,1,polynomial-timeprimality testing
Ahn,1,human-based computation
Aho,2,"compilers book,  the 'a' inAWK"
Allen,1,compiler optimization
Amdahl,2,"supercomputerdeveloper, Amdahl Corporationfounder"
Anderson,1,volunteer computing
Anthony,1,natural user interfaces
Appel,1,compiler of text books
Aragon,2,"inventedtreap,  human-centered data science"
Arden,4,"programming language compilers (GAT, Michigan Algorithm Decoder(MAD)),  virtual memory architecture, Michigan Terminal System(MTS)"
Arora,1,PCP theorem
Asprey,1,established the computer science curriculum atVassar College
Atanasoff,2,"computer pioneer,  creator of Atanasoff Berry Computer (ABC)"
Atre,1,database theory
Bachman,2,"American computer scientist,  known forIntegrated Data Store"
Backhouse,3,"mathematics ofcomputer programconstruction, algorithmicproblem solving, ALGOL"
Backus,3,"FORTRAN, Backus–Naur form,  first complete compiler"
Bacon,2,"programming languages,  garbage collection"
Barr,1,SAS System
Bauer,5,"Stack (data structure), Sequential Formula Translation, ALGOL, software engineering, Bauer–Fike theorem"
Bayer,1,B-tree
Bellovin,1,network security
Berners-Lee,1,World Wide Web
Bernstein,2,"qmail,  software as protected speech"
Blaauw,1,one of the principal designers of the IBMSystem 360line of computers
Blum,1,National Security Agency
Blum,1,complexity
Blum,1,cryptography
Boehm,2,"software engineering economics,  spiral development"
Bonwick,1,inventedslab allocationandZFS
Booch,2,"Unified Modeling Language, Object Management Group"
Boole,1,Boolean logic
Booth,1,developed the firstrotating drum storage device
Booth,1,developed the firstassembly language
Bos,1,Cascading Style Sheets
Botvinnik,3,"World Chess Champion,  computer scientist and electrical engineer,  pioneered earlyexpert systemAI andcomputer chess"
Bowen,2,"Z notation, formal methods"
Bourne,2,"Bourne shell,  portableALGOL 68Ccompiler"
Boyer,2,"string searching, ACL2 theorem prover"
Brandenburg,1,Mainmp3contributor
Breed,3,"implementation of Iverson Notation (APL),  co-developedAPL\360, Scientific Time Sharing Corporationcofounder"
Bresenham,2,"early computer-graphics contributions,  includingBresenham's algorithm"
Brin,1,co-founder ofGoogle
Brown,2,"unified memory architecture, binary compatibility"
Brinkkemper,1,methodology of product software development
Brooks,4,"System 360, OS/360, The Mythical Man-Month, No Silver Bullet"
